"judge","jcountry","gender"
"AHLERING Julie","USA","Female"
"ASADA Masako","JPN","Female"
"AVASILOAE Florin","ROU","Male"
"AXTELIUS Peter","SWE","Male"
"BROOKER Gillian Ann Dunbar","AUS","Male"
"FEOKTISTOV Eduard","RUS","Male"
"FRASER Lindsey Ann","GBR","Female"
"GOLOVAN Anatoliy","UKR","Male"
"HASSAN Mohamed","EGY","Male"
"LEE William","SGP","Male"
"MIN Suckhong","KOR","Male"
"RUIZ PEDREGUERA Rolando","CUB","Male"
"PETERSON Gord","CAN","Male"
"PRANARTA Pranarta","INA","Male"
"RAO Lang","CHN","Female"
"REIS Violeta","BRA","Female"
"ROCHA CHAVEZ Sergio","MEX","Male"
"RODRIGUEZ AMADEO Angelique M.","PUR","Female"
"SCHLEPPS Holger","GER","Male"
"SZEKFFY Nora","HUN","Female"
"TOULOUDIS Nikolaos","GRE","Male"
"van der VOORT Ronald","NED","Male"
"VYAS Mayur Jansukhlal","IND","Male"
"WRIGHT Lisa","NZL","Female"
"ZAMPIERI Marco","ITA","Male"
